PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
6661,Hudspeth County Sheriffs Office,Hudspeth,El Paso,TX,79925,,,1,,West TCC
6629,Hardeman County Sheriff's Office,Hardeman,Quanah,TX,79252,,,1,,
6521,Culberson County Sheriffs Office,Culberson,El Paso,TX,79925,,,1,,West TCC
6486,Clay County Sheriff's Office,Clay,Henrietta,TX,76365,,,1,,
6447,Bowie Police Department,Montague,Bowie,TX,76230,,,1,,
6425,Baylor County Sheriff's Office,Baylor,Seymour,TX,76380,,,1,,
6408,Archer County Sheriff's Office,Archer,Archer City,TX,76351,,,1,,
6391,Alpine Police Department,Brewster,El Paso,TX,79925,,,1,,West TCC
6359,Soddy Daisy Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
6356,Signal Mountain Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
6337,Red Bank Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
6298,Lookout Mountain Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
6264,Hamilton County Sheriffs Department,Hamilton,Chattanooga,TN,37406,,,1,,
6262,Hamilton County 911 Emergency Communications District,Hamilton,Chattanooga,TN,37406,,,1,,
6246,East Ridge Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
6223,Chattanooga Police Department,Hamilton,Chattanooga,TN,37406,,,1,,
5357,Hancock Sheriff's Office,Hancock,Findlay,OH,45840,,,1,,
5335,Findlay Police Department,Hancock,Findlay,OH,45840,,,1,,
5044,Broome County Emergency Services,Broome,Binghamton,NY,13905,,,1,,
5017,Nye County 911,Nye,Pahrump,NV,89060,,1,,,
3232,Somerset County Department Of Emergency Services,Somerset,Princess Anne,MD,21853,,,1,,
1764,Fort Stewart 9-1-1,Liberty,Fort Stewart,GA,31314,1,,,,
1034,Ventura Police Department,Ventura,Ventura ,CA,93003,,1,,,
772,Kings County Sheriff's Office Dispatch Center,Kings,Hanford,CA,93230,,,1,,
8494,"Laughlin Air Force Base
47th Flying Training Wing Head Quarters",Val Verde,Carrizo Springs,TX,78834,,,1,,
6964,Val Verde County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6963,Uvalde Police Department,Val Verde,Carrizo Springs,TX,78834,,,1,,
6849,Real County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6759,Maverick County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6709,La Salle County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6701,Kinney County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6696,Kilgore Police Department,Gregg,Kilgore,TX,75662,1,,,,
6559,Edwards County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6552,Eagle Pass Police Department,Val Verde,Carrizo Springs,TX,78834,,,1,,
6546,Dimmit County Sheriffs Office,Val Verde,Carrizo Springs,TX,78834,,,1,,
6534,Del Rio Police Department,Val Verde,Carrizo Springs,TX,78834,,,1,,
6520,Crystal City Police Department,Val Verde,Carrizo Springs,TX,78834,,,1,,
6097,Spartanburg Communications 9-1-1 Department,Spartanburg,Spartanburg,SC,29304,,,1,,
